Interval,GMTIntervalEnd,BAA,Settlement Location,Pnode,LMP,MLC,MCC,MEC
04/12/2026 17:00:00,04/12/2026 22:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,2.8099,-0.5992,-10.1159,13.5250
04/12/2026 18:00:00,04/12/2026 23:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,15.5356,-0.0210,-2.1575,17.7141
04/12/2026 18:00:00,04/12/2026 23:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,5.0000,-0.8432,-11.8709,17.7141
04/12/2026 19:00:00,04/13/2026 00:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,22.7542,0.0876,1.5153,21.1513
04/12/2026 19:00:00,04/13/2026 00:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,10.0880,-1.0450,-10.0183,21.1513
04/12/2026 20:00:00,04/13/2026 01:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,28.1799,0.2356,2.6079,25.3364
04/12/2026 20:00:00,04/13/2026 01:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,11.1582,-1.5429,-12.6352,25.3363
04/12/2026 21:00:00,04/13/2026 02:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,27.5798,0.2421,4.3942,22.9435
04/12/2026 21:00:00,04/13/2026 02:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,4.5563,-1.5967,-16.7906,22.9436
04/12/2026 22:00:00,04/13/2026 03:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,16.5962,0.1752,0.3239,16.0971
04/12/2026 22:00:00,04/13/2026 03:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-0.6052,-1.0694,-15.6328,16.0970
04/12/2026 23:00:00,04/13/2026 04:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,4.9520,0.0849,-2.2431,7.1102
04/12/2026 23:00:00,04/13/2026 04:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-11.4767,-0.5026,-18.0843,7.1102
04/13/2026 00:00:00,04/13/2026 05:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-2.4328,-0.0183,1.8333,-4.2478
04/13/2026 00:00:00,04/13/2026 05:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-20.0000,0.2937,-16.0460,-4.2477
