Day Ahead Market ExPost LMPs
11/02/2025
,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,Interface,LMP,33.04,33.14,32.35,31.67,32.36,33.92,33.58,31.12,27.58,28.29,14.36,20.08,12.85,11.9,10,10,12.1,30.45,43.71,32,24.06,25.74,13.98,14.06
AECI.ALTW,Loadzone,LMP,31.14,31.83,30.42,28.1,28.43,29.45,31.89,32.71,24.65,20.7,14.92,13.01,9.79,8.46,6.48,5.84,13.44,30.83,37.2,24.63,21.39,19.35,15.46,13.63
AECI.AMMO,Loadzone,LMP,33.56,32.53,32.59,30.66,33.18,33.09,39.45,39.01,32.39,28.56,25.55,22.71,23.31,24.04,23.09,22.46,31.93,49.07,60.17,43.68,35.34,32.01,31.81,28.19
AECI.APM_1.AZ,Hub,LMP,33.59,32.56,32.62,30.7,33.24,33.15,39.46,38.97,32.4,28.54,25.54,22.73,23.34,24.07,23.1,22.51,31.91,49.01,60.17,43.71,35.37,32.05,31.87,28.29
ILLINOIS.HUB,Hub,LMP,30.77,28.86,28.76,26.19,25.73,27.73,32.68,33.24,26.02,22.73,19.83,18.2,17.24,17.18,15.94,14.9,26.23,41.64,47.83,31.9,24.71,21.99,18.2,13.91
INDIANA.HUB,Hub,LMP,36.22,33.81,33.72,32.82,32.33,34.62,40.09,39.03,30.1,27.77,23.63,21.73,20.63,20.11,20.42,24.78,36.94,52.02,59.17,44.13,36.12,32.6,32.32,29.62
MICHIGAN.HUB,Hub,LMP,36.45,34.21,33.87,32.96,32.96,35.81,41.43,40.16,29.93,28.85,24.1,21.95,20.85,20.08,20.16,25.28,37.77,53.29,60.92,43.37,35.99,32.13,31.65,28.64
MINN.HUB,Hub,LMP,30.6,28.29,25.48,21.77,16.37,15.94,15.85,17.3,13.63,13.07,6.92,4.1,.15,-.37,1.27,4.59,18.09,33.23,35.7,24.16,20.09,18.7,15.46,13.76
NIPS.AM,Loadzone,LMP,36.66,34.39,34.37,33.29,33.38,35.57,41.41,40.17,30.61,27.19,22.71,20.8,19.7,18.63,18.48,24.83,36.88,53,59.77,42.74,35.11,30.83,30.36,27.21
NIPS.AZ,Hub,LMP,36.51,34.29,34.33,33.12,33.21,35.46,41.36,40.13,30.59,27.16,22.69,20.78,19.68,18.62,18.47,24.77,36.81,52.92,59.69,42.68,35.06,30.79,30.31,27.16
NIPS.BAILY.ARR,Hub,LMP,36.52,34.1,33.84,33.12,33.18,35.04,40.65,39.38,29.99,26.62,22.24,20.25,19.19,18.25,18.01,23.78,35.74,51.83,58.61,41.39,33.85,29.77,29.17,25.89
ILLINOIS.HUB,Hub,MCC,-1.02,-.9,-.93,-1.66,-2.13,-2.13,-.93,.71,.06,.27,.14,.09,.16,.38,-.31,-2.88,-1.18,-.18,-.97,-4.5,-5.14,-5.31,-7.9,-10.3
INDIANA.HUB,Hub,MCC,2.99,2.82,2.7,3.72,3.26,2.98,4.59,4.99,2.94,3.48,2.33,2.64,2.62,2.25,2.79,5.5,7.29,7.35,5.92,5.49,4.38,3.87,4.14,4.24
MICHIGAN.HUB,Hub,MCC,3.88,3.61,3.4,4.38,4.38,4.05,5.69,5.96,2.63,4.53,2.77,2.98,2.96,2.18,2.63,6.1,8.28,9.14,6.39,5.18,3.84,3.41,3.67,3.44
MINN.HUB,Hub,MCC,-4.24,-5.75,-7.3,-8.98,-15.38,-12.51,-15.93,-14.43,-11.7,-10.61,-13.84,-13.09,-16.05,-16.33,-14.93,-13.12,-9.04,-9.05,-13.29,-11.78,-8.69,-7.57,-10.19,-9.38
ILLINOIS.HUB,Hub,MLC,-.97,-1.43,-.96,-.9,-1.06,.28,.44,-.14,-.11,-.92,-.82,.1,.1,-.04,-.31,-.34,-.48,-.49,-1.8,-.14,-.27,-.31,-.68,.02
INDIANA.HUB,Hub,MLC,.47,-.2,.37,.35,.15,2.06,2.33,1.37,1.09,.91,.79,1.08,1.03,1.02,1.07,1.16,1.76,2.36,2.65,2.1,1.62,1.12,1.4,1.19
MICHIGAN.HUB,Hub,MLC,-.19,-.59,-.18,-.17,-.34,2.18,2.57,1.53,1.23,.94,.82,.96,.91,1.06,.97,1.06,1.6,1.84,3.93,1.65,2.03,1.11,1.2,1.01
MINN.HUB,Hub,MLC,2.08,2.85,2.13,2,2.83,-1.13,-1.39,-.94,-.74,.3,.25,-.82,-.78,-.88,-.36,-.41,-.76,-.03,-1.61,-.6,-1.34,-1.34,-1.13,-1.05
