Interval,GMTIntervalEnd,BAA,Settlement Location,Pnode,LMP,MLC,MCC,MEC
4/1/2026 1:00,4/1/2026 6:00,SPP,AEC,SOUC,21.6904,0.5671,-1.9366,23.0599
4/1/2026 1:00,4/1/2026 6:00,SWPW,AESO,AESO,27.6102,0.4393,1.7924,25.3785
4/1/2026 1:00,4/1/2026 6:00,SWPW,AVA,AVA,27.6139,0.4414,1.794,25.3785
4/1/2026 1:00,4/1/2026 6:00,SWPW,AVRN,AVRN,27.6507,0.4872,1.785,25.3785
4/1/2026 1:00,4/1/2026 6:00,SPP,CSWS_HUB,CSWS_HUB_H,20.7291,-0.2022,-2.1286,23.0599
4/1/2026 1:00,4/1/2026 6:00,SPP,SPPNORTH_HUB,SPPNORTH_H,20.5748,-0.138,-2.3471,23.0599
4/1/2026 1:00,4/1/2026 6:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,19.5534,-1.0717,-2.4348,23.0599
4/1/2026 2:00,4/1/2026 7:00,SPP,AEC,SOUC,18.0034,0.4634,0.0913,17.4487
4/1/2026 2:00,4/1/2026 7:00,SPP,CSWS_HUB,CSWS_HUB_H,17.212,-0.0809,-0.1559,17.4488
4/1/2026 2:00,4/1/2026 7:00,SPP,SPPNORTH_HUB,SPPNORTH_H,16.8729,-0.1371,-0.4388,17.4488
4/1/2026 2:00,4/1/2026 7:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,16.1909,-0.7019,-0.5559,17.4487
4/1/2026 3:00,4/1/2026 8:00,SPP,AEC,SOUC,18.4575,0.478,0.2894,17.6901
4/1/2026 3:00,4/1/2026 8:00,SPP,CSWS_HUB,CSWS_HUB_H,17.5008,-0.0689,-0.1204,17.6901
4/1/2026 3:00,4/1/2026 8:00,SPP,SPPNORTH_HUB,SPPNORTH_H,16.968,-0.2124,-0.5097,17.6901
4/1/2026 3:00,4/1/2026 8:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,16.4117,-0.6848,-0.5935,17.69
4/1/2026 4:00,4/1/2026 9:00,SPP,SPPNORTH_HUB,SPPNORTH_H,17.2085,-0.3332,-0.2966,17.8383
4/1/2026 4:00,4/1/2026 9:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,16.7875,-0.6735,-0.3773,17.8383
4/1/2026 5:00,4/1/2026 10:00,SPP,SPPNORTH_HUB,SPPNORTH_H,16.7601,-0.3227,-0.8054,17.8882
4/1/2026 5:00,4/1/2026 10:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,17.0128,-0.6508,-0.2244,17.888
4/1/2026 6:00,4/1/2026 11:00,SPP,SPPNORTH_HUB,SPPNORTH_H,21.539,-0.426,-0.4,22.365
4/1/2026 6:00,4/1/2026 11:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,20.9686,-0.8081,-0.5884,22.3651
4/1/2026 7:00,4/1/2026 12:00,SPP,SPPNORTH_HUB,SPPNORTH_H,30.6228,-0.4494,-1.7332,32.8054
4/1/2026 7:00,4/1/2026 12:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,30.0363,-1.1151,-1.654,32.8054
4/1/2026 8:00,4/1/2026 13:00,SPP,SPPNORTH_HUB,SPPNORTH_H,30.5674,-0.3425,-1.8568,32.7667
4/1/2026 8:00,4/1/2026 13:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,29.6984,-1.2239,-1.8444,32.7667
4/1/2026 9:00,4/1/2026 14:00,SPP,SPPNORTH_HUB,SPPNORTH_H,33.4855,-0.5511,-3.9063,37.9429
4/1/2026 9:00,4/1/2026 14:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,31.4716,-1.3681,-5.1032,37.9429
4/1/2026 10:00,4/1/2026 15:00,SPP,SPPNORTH_HUB,SPPNORTH_H,43.5319,-0.6434,5.9016,38.2737
4/1/2026 10:00,4/1/2026 15:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,35.4788,-1.3589,-1.436,38.2737
4/1/2026 11:00,4/1/2026 16:00,SPP,SPPNORTH_HUB,SPPNORTH_H,38.3389,-0.4206,9.5046,29.2549
4/1/2026 11:00,4/1/2026 16:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,28.8084,-1.1963,0.7498,29.2549
4/1/2026 12:00,4/1/2026 17:00,SPP,SPPNORTH_HUB,SPPNORTH_H,30.3103,-0.4222,5.7453,24.9872
4/1/2026 12:00,4/1/2026 17:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,25.9079,-0.8517,1.7725,24.9871
4/1/2026 13:00,4/1/2026 18:00,SPP,SPPNORTH_HUB,SPPNORTH_H,23.6611,-0.4037,2.2835,21.7813
4/1/2026 13:00,4/1/2026 18:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,20.1798,-0.6356,-0.9659,21.7813
4/1/2026 14:00,4/1/2026 19:00,SPP,SPPNORTH_HUB,SPPNORTH_H,18.7365,-0.3728,-0.293,19.4023
4/1/2026 14:00,4/1/2026 19:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,15.3422,-0.5243,-3.5357,19.4022
4/1/2026 15:00,4/1/2026 20:00,SPP,SPPNORTH_HUB,SPPNORTH_H,19.3938,-0.5317,-2.1171,22.0426
4/1/2026 15:00,4/1/2026 20:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,27.1083,-0.6509,5.7167,22.0425
4/1/2026 16:00,4/1/2026 21:00,SPP,SPPNORTH_HUB,SPPNORTH_H,17.3649,-0.5633,-1.2884,19.2166
4/1/2026 16:00,4/1/2026 21:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,21.188,-0.4466,2.418,19.2166
4/1/2026 17:00,4/1/2026 22:00,SPP,SPPNORTH_HUB,SPPNORTH_H,18.1596,-0.6992,-4.4051,23.2639
4/1/2026 17:00,4/1/2026 22:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,29.99,-0.4602,7.1864,23.2638
4/1/2026 18:00,4/1/2026 23:00,SPP,SPPNORTH_HUB,SPPNORTH_H,25.1353,-0.6098,1.5826,24.1625
