INTERVAL,GMTINTERVALEND,BAA,SETTLEMENT_LOCATION,PNODE,LMP,MLC,MCC,MEC
6/4/2026 19:00,6/5/2026 0:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,24.2672,-0.9326,-5.0317,30.2315
6/4/2026 20:00,6/5/2026 1:00,SPP,SPPNORTH_HUB,SPPNORTH_H,35.8966,0.0798,5.6556,30.1612
6/4/2026 20:00,6/5/2026 1:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,23.9013,-0.8765,-5.3833,30.1611
6/4/2026 21:00,6/5/2026 2:00,SPP,SPPNORTH_HUB,SPPNORTH_H,27.6349,-0.1397,0.5362,27.2384
6/4/2026 21:00,6/5/2026 2:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,27.6691,-0.6492,1.0798,27.2385
6/4/2026 22:00,6/5/2026 3:00,SPP,SPPNORTH_HUB,SPPNORTH_H,21.7718,-0.1377,1.7357,20.1738
6/4/2026 22:00,6/5/2026 3:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,12.3928,-0.4624,-7.3187,20.1739
6/4/2026 23:00,6/5/2026 4:00,SPP,SPPNORTH_HUB,SPPNORTH_H,14.6784,-0.111,-1.4766,16.266
6/4/2026 23:00,6/5/2026 4:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,7.4355,-0.434,-8.3964,16.2659
6/5/2026 0:00,6/5/2026 5:00,SPP,SPPNORTH_HUB,SPPNORTH_H,7.3707,-0.1111,-3.3392,10.821
6/5/2026 0:00,6/5/2026 5:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,1.5039,-0.3228,-8.9942,10.8209
