Interval,GMTIntervalEnd,BAA,Settlement Location,Pnode,LMP,MLC,MCC,MEC
6/1/2026 01:00,6/1/2026 06:00,SPP,AEC,SOUC,23.0201,0.9433,4.6205,17.4563
6/1/2026 01:00,6/1/2026 06:00,SWPW,AESO,AESO,26.6902,-0.4536,0.0023,27.1415
6/1/2026 01:00,6/1/2026 06:00,SWPW,AVA,AVA,26.692,-0.4519,0.0023,27.1416
6/1/2026 01:00,6/1/2026 06:00,SWPW,AVRN,AVRN,26.7101,-0.433,0.0015,27.1416
6/1/2026 01:00,6/1/2026 06:00,SPP,CSWS_HUB,CSWS_HUB_H,22.3063,0.4747,4.3753,17.4563
6/1/2026 01:00,6/1/2026 06:00,SPP,SPPNORTH_HUB,SPPNORTH_H,19.0766,0.4124,1.2078,17.4564
6/1/2026 01:00,6/1/2026 06:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,14.0503,-0.4092,-2.9968,17.4563
6/1/2026 02:00,6/1/2026 07:00,SPP,AEC,SOUC,22.0752,0.8853,4.4083,16.7816
6/1/2026 02:00,6/1/2026 07:00,SPP,CSWS_HUB,CSWS_HUB_H,21.639,0.4693,4.3883,16.7814
6/1/2026 02:00,6/1/2026 07:00,SPP,SPPNORTH_HUB,SPPNORTH_H,18.4232,0.4502,1.1915,16.7815
6/1/2026 02:00,6/1/2026 07:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,13.6035,-0.3698,-2.8083,16.7816
6/1/2026 03:00,6/1/2026 08:00,SPP,AEC,SOUC,21.1549,0.8813,2.9636,17.31
6/1/2026 03:00,6/1/2026 08:00,SPP,CSWS_HUB,CSWS_HUB_H,20.8238,0.4597,3.0542,17.3099
6/1/2026 03:00,6/1/2026 08:00,SPP,SPPNORTH_HUB,SPPNORTH_H,18.7171,0.5197,0.8875,17.3099
6/1/2026 03:00,6/1/2026 08:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,14.2378,-0.2987,-2.7734,17.3099
6/1/2026 04:00,6/1/2026 09:00,SPP,SPPNORTH_HUB,SPPNORTH_H,19.3617,0.5675,0.9114,17.8828
6/1/2026 04:00,6/1/2026 09:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,16.4639,-0.1917,-1.2272,17.8828
6/1/2026 05:00,6/1/2026 10:00,SPP,SPPNORTH_HUB,SPPNORTH_H,20.4252,0.5207,0.6121,19.2924
6/1/2026 05:00,6/1/2026 10:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,18.9694,-0.1111,-0.2119,19.2924
6/1/2026 06:00,6/1/2026 11:00,SPP,SPPNORTH_HUB,SPPNORTH_H,22.5729,0.5601,0.4279,21.5849
6/1/2026 06:00,6/1/2026 11:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,22.2813,-0.0085,0.7048,21.585
6/1/2026 07:00,6/1/2026 12:00,SPP,SPPNORTH_HUB,SPPNORTH_H,26.0754,0.6841,0.0941,25.2972
6/1/2026 07:00,6/1/2026 12:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,25.3078,-0.0507,0.0612,25.2973
6/1/2026 08:00,6/1/2026 13:00,SPP,SPPNORTH_HUB,SPPNORTH_H,27.0593,0.7191,0.1002,26.24
6/1/2026 08:00,6/1/2026 13:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,26.1953,-0.0985,0.0539,26.2399
6/1/2026 09:00,6/1/2026 14:00,SPP,SPPNORTH_HUB,SPPNORTH_H,33.1239,0.7985,-0.0352,32.3606
6/1/2026 09:00,6/1/2026 14:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,32.4531,0.0799,0.0126,32.3606
6/1/2026 10:00,6/1/2026 15:00,SPP,SPPNORTH_HUB,SPPNORTH_H,38.091,1.0957,-0.1874,37.1827
6/1/2026 10:00,6/1/2026 15:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,37.6136,0.0824,0.3485,37.1827
6/1/2026 11:00,6/1/2026 16:00,SPP,SPPNORTH_HUB,SPPNORTH_H,41.311,0.9356,0.0845,40.2909
6/1/2026 11:00,6/1/2026 16:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,41.3511,0.5698,0.4905,40.2908
6/1/2026 12:00,6/1/2026 17:00,SPP,SPPNORTH_HUB,SPPNORTH_H,48.1265,1.0099,-0.0438,47.1604
6/1/2026 12:00,6/1/2026 17:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,48.7348,0.9487,0.6257,47.1604
6/1/2026 13:00,6/1/2026 18:00,SPP,SPPNORTH_HUB,SPPNORTH_H,60.3821,1.0844,-1.0343,60.332
6/1/2026 13:00,6/1/2026 18:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,62.9054,1.2595,1.3139,60.332
6/1/2026 14:00,6/1/2026 19:00,SPP,SPPNORTH_HUB,SPPNORTH_H,72.6691,1.4967,0.5784,70.594
6/1/2026 14:00,6/1/2026 19:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,73.1599,1.4132,1.1526,70.5941
6/1/2026 15:00,6/1/2026 20:00,SPP,SPPNORTH_HUB,SPPNORTH_H,73.7489,1.9824,-2.6046,74.3711
6/1/2026 15:00,6/1/2026 20:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,85.6872,1.2843,10.0318,74.3711
6/1/2026 16:00,6/1/2026 21:00,SPP,SPPNORTH_HUB,SPPNORTH_H,66.0073,1.9648,0.8984,63.1441
