Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2026 05:00,NORTH,61755,32.41,0.19,0.00
09/23/2026 05:00,NPX,61845,34.05,1.06,-0.78
09/23/2026 05:00,O H,61846,30.35,-2.64,-0.78
09/23/2026 05:00,PJM,61847,25.20,-0.55,6.47
09/23/2026 05:00,WEST,61752,29.70,-2.51,0.00
09/23/2026 06:00,CAPITL,61757,43.27,1.50,0.00
09/23/2026 06:00,CENTRL,61754,41.53,-0.25,-0.01
09/23/2026 06:00,DUNWOD,61760,43.86,2.09,0.00
09/23/2026 06:00,GENESE,61753,39.68,-2.09,0.00
09/23/2026 06:00,H Q,61844,40.91,-0.08,0.78
09/23/2026 06:00,HUD VL,61758,43.57,1.79,0.00
09/23/2026 06:00,LONGIL,61762,43.82,2.05,0.00
09/23/2026 06:00,MHK VL,61756,43.61,1.84,0.00
09/23/2026 06:00,MILLWD,61759,43.69,1.92,0.00
09/23/2026 06:00,N.Y.C.,61761,43.94,2.17,0.00
09/23/2026 06:00,NORTH,61755,42.23,0.46,0.00
09/23/2026 06:00,NPX,61845,42.37,1.38,0.78
09/23/2026 06:00,O H,61846,36.51,-4.47,0.79
09/23/2026 06:00,PJM,61847,35.74,-1.09,4.94
09/23/2026 06:00,WEST,61752,37.75,-4.01,0.02
09/23/2026 07:00,CAPITL,61757,47.87,1.80,0.00
09/23/2026 07:00,CENTRL,61754,45.81,-0.27,-0.01
09/23/2026 07:00,DUNWOD,61760,48.75,2.67,0.00
09/23/2026 07:00,GENESE,61753,43.82,-2.26,0.00
09/23/2026 07:00,H Q,61844,40.49,-0.14,5.45
09/23/2026 07:00,HUD VL,61758,48.34,2.26,0.00
09/23/2026 07:00,LONGIL,61762,48.89,2.81,0.00
09/23/2026 07:00,MHK VL,61756,48.06,1.98,0.00
09/23/2026 07:00,MILLWD,61759,48.52,2.44,0.00
09/23/2026 07:00,N.Y.C.,61761,48.75,2.67,0.00
09/23/2026 07:00,NORTH,61755,46.36,0.28,0.00
09/23/2026 07:00,NPX,61845,42.52,1.89,5.45
09/23/2026 07:00,O H,61846,35.83,-4.79,5.46
09/23/2026 07:00,PJM,61847,38.00,-0.92,7.16
09/23/2026 07:00,WEST,61752,42.05,-4.01,0.02
09/23/2026 08:00,CAPITL,61757,36.54,1.10,0.00
09/23/2026 08:00,CENTRL,61754,34.94,-0.39,0.11
09/23/2026 08:00,DUNWOD,61760,38.31,2.87,0.00
09/23/2026 08:00,GENESE,61753,33.25,-1.88,0.32
09/23/2026 08:00,H Q,61844,39.76,-0.14,-4.46
09/23/2026 08:00,HUD VL,61758,37.74,2.30,0.00
09/23/2026 08:00,LONGIL,61762,39.03,3.58,-0.01
09/23/2026 08:00,MHK VL,61756,36.50,1.06,0.00
09/23/2026 08:00,MILLWD,61759,38.03,2.59,0.00
09/23/2026 08:00,N.Y.C.,61761,38.56,3.12,0.00
09/23/2026 08:00,NORTH,61755,35.48,0.04,0.00
09/23/2026 08:00,NPX,61845,41.50,1.60,-4.46
09/23/2026 08:00,O H,61846,35.97,-3.62,-4.15
