Day Ahead Market ExPost LMPs
09/23/2026
,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,Interface,LMP,25.6,24.78,24.61,24.8,26.7,34,40.11,31.37,27.51,27.36,27.65,30.8,35.94,38.76,41.61,45,48.86,66.86,92.57,60.81,40.07,34.88,27.7,24.87
AECI.ALTW,Loadzone,LMP,27.2,26.58,27.09,27.12,30.05,40.18,49.55,36.45,31.07,29.21,28.14,30.21,33.72,35.91,36.14,39.92,44.48,71,101.18,70.05,42.61,34.87,31.31,28.76
AECI.AMMO,Loadzone,LMP,28.08,27.59,27.81,28.13,29.61,41.18,48.38,36.18,30.5,28.59,27.45,29.22,34.09,36.02,37.48,41.91,44.19,61.88,91.93,70.06,47.16,41.42,32.69,29.85
AECI.APM_1.AZ,Hub,LMP,28.07,27.59,27.81,28.13,29.61,41.19,48.38,36.2,30.5,28.6,27.45,29.22,34.09,36.06,37.49,41.92,44.26,61.98,91.97,70.06,47.16,41.42,32.69,29.85
ILLINOIS.HUB,Hub,LMP,25.15,24.48,24.74,24.91,27.28,37.06,46.95,35.13,28.42,26.52,25.97,27.83,31.78,32.94,34.6,36.71,39.57,55.55,79.29,57.95,39.95,33.09,28.43,24.94
INDIANA.HUB,Hub,LMP,28.47,27.78,28.15,28.39,30.61,46.19,55.61,42.56,33.51,33.48,31.88,30.04,34.4,35.82,38.66,40.62,41.8,79.18,98.32,74.08,47.43,39.36,31.8,28.12
MICHIGAN.HUB,Hub,LMP,34.34,32.33,32.06,30.15,37.63,55.65,57.52,42.09,34.27,28.97,27.39,28.74,29.1,29.01,31.07,30.91,33.7,42.46,57.92,42.69,31.03,33.75,32.07,33.49
MINN.HUB,Hub,LMP,28.4,26.79,26.24,26.42,27.58,35.29,46.27,34.73,27.91,22.75,20.46,19.85,20,20.18,21.49,25.55,29.35,42.97,71.95,50.77,31.45,28.57,22.76,18.46
NIPS.AM,Loadzone,LMP,38.96,37.86,38.46,38.33,42.49,57.1,61.41,44.99,38.25,34.72,33.66,35.33,38.17,38.8,41.57,46.72,47.27,67.29,91.98,69,50.15,45.1,40.18,37.22
NIPS.AZ,Hub,LMP,37.7,36.63,37.19,37.06,41.06,55.43,59.96,44.02,37.39,34.13,33.17,34.85,37.71,38.35,41.06,46.14,46.6,66.22,90.77,67.89,49.16,44.08,39.11,36.13
NIPS.BAILY.ARR,Hub,LMP,101.03,98.38,101.03,100.57,112.8,139.11,131.8,91.95,80.05,61.84,56.24,57.19,59.43,59.28,63.67,72.42,78.67,114.5,147.87,120.66,96.64,95.67,92.05,90.55
ILLINOIS.HUB,Hub,MCC,-1.54,-1.41,-1.41,-1.23,-1.86,-4.38,-1.86,-1.17,-1.14,-.75,-.62,-.62,-.4,-.63,-1.37,-1.44,-.83,.42,1.34,.89,.17,-1.29,-.98,-1.41
INDIANA.HUB,Hub,MCC,.6,.75,.85,1.13,.5,3.39,5.12,4.81,2.34,4.67,3.85,.2,.45,.39,.99,.48,-.71,21.18,16.31,14.04,5.75,3.3,1.13,.42
MICHIGAN.HUB,Hub,MCC,5.79,4.63,4.3,2.54,7.56,12.98,7.47,4.3,2.91,.06,-.81,-.94,-4.28,-5.82,-6.32,-10.25,-9.9,-17.02,-26.19,-18.88,-10.32,-3.09,1.39,5.9
MINN.HUB,Hub,MCC,1.23,.43,.1,.9,-.44,-3.63,.58,1.41,-1.04,-4.17,-5.57,-8.4,-10.84,-12,-12.5,-14.66,-13.24,-15.13,-10.2,-9.37,-6.15,-6.56,-4.6,-6.4
ILLINOIS.HUB,Hub,MLC,-.98,-.95,-.77,-.51,-.09,.2,.31,.17,-.79,-.88,-.7,-.7,-.51,-.53,.3,-1.81,-1.91,-2.59,-3.67,-2.68,.32,-1.45,.34,-.06
INDIANA.HUB,Hub,MLC,.2,.19,.38,.61,.88,1.56,1.99,1.62,.82,.66,.74,.69,1.26,1.33,2,.18,.2,.28,.39,.3,2.22,.23,1.6,1.29
MICHIGAN.HUB,Hub,MLC,.88,.86,.84,.96,.84,1.43,1.55,1.66,1.01,.76,.91,.53,.69,.73,1.72,1.2,1.29,1.76,2.49,1.83,1.89,1.01,1.61,1.18
MINN.HUB,Hub,MLC,-.5,-.48,-.78,-1.13,-1.21,-2.32,-2.81,-2.81,-1.4,-1.23,-1.26,-.9,-1.85,-1.92,-1.68,.25,.28,.38,.53,.4,-1.86,-.7,-1.71,-1.55
