Interval,GMTIntervalEnd,BAA,Settlement Location,Pnode,LMP,MLC,MCC,MEC
09/23/2026 01:00:00,09/23/2026 06:00:00,SPP,AEC,SOUC,18.2263,0.0831,-0.3637,18.5069
09/23/2026 01:00:00,09/23/2026 06:00:00,SWPW,AESO,AESO,19.8027,0.2198,-0.0023,19.5852
09/23/2026 01:00:00,09/23/2026 06:00:00,SWPW,AVA,AVA,19.8040,0.2212,-0.0024,19.5852
09/23/2026 01:00:00,09/23/2026 06:00:00,SWPW,AVRN,AVRN,19.8555,0.2719,-0.0015,19.5851
09/23/2026 01:00:00,09/23/2026 06:00:00,SPP,CSWS_HUB,CSWS_HUB_H,18.0563,0.1305,-0.5812,18.5070
09/23/2026 01:00:00,09/23/2026 06:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,15.8983,-1.1890,-1.4197,18.5070
09/23/2026 01:00:00,09/23/2026 06:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,18.0349,0.1867,-0.6587,18.5069
09/23/2026 02:00:00,09/23/2026 07:00:00,SPP,AEC,SOUC,16.9794,0.0896,0.0810,16.8088
09/23/2026 02:00:00,09/23/2026 07:00:00,SPP,CSWS_HUB,CSWS_HUB_H,16.8581,0.1275,-0.0783,16.8089
09/23/2026 02:00:00,09/23/2026 07:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,13.5433,-1.0867,-2.1789,16.8089
09/23/2026 02:00:00,09/23/2026 07:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,16.8695,0.1667,-0.1060,16.8088
09/23/2026 03:00:00,09/23/2026 08:00:00,SPP,AEC,SOUC,16.5930,0.0692,-0.2189,16.7427
09/23/2026 03:00:00,09/23/2026 08:00:00,SPP,CSWS_HUB,CSWS_HUB_H,17.2129,0.1257,0.3445,16.7427
09/23/2026 03:00:00,09/23/2026 08:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,13.8274,-1.1000,-1.8153,16.7427
09/23/2026 03:00:00,09/23/2026 08:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,17.2647,0.1723,0.3497,16.7427
09/23/2026 04:00:00,09/23/2026 09:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,15.2580,-1.1325,-0.7924,17.1829
09/23/2026 04:00:00,09/23/2026 09:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,17.7570,0.1710,0.4031,17.1829
09/23/2026 05:00:00,09/23/2026 10:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,16.9453,-1.2429,-0.7249,18.9131
09/23/2026 05:00:00,09/23/2026 10:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,18.9298,0.2157,-0.1990,18.9131
09/23/2026 06:00:00,09/23/2026 11:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,19.5997,-1.4187,-0.8536,21.8720
09/23/2026 06:00:00,09/23/2026 11:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,22.2140,0.3358,0.0061,21.8721
09/23/2026 07:00:00,09/23/2026 12:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,23.5816,-1.2821,0.3595,24.5042
09/23/2026 07:00:00,09/23/2026 12:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,24.4499,0.4447,-0.4989,24.5041
09/23/2026 08:00:00,09/23/2026 13:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,23.6122,-1.1908,0.7710,24.0320
09/23/2026 08:00:00,09/23/2026 13:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,24.0175,0.5397,-0.5541,24.0319
09/23/2026 09:00:00,09/23/2026 14:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,25.2447,-1.0760,0.3443,25.9764
09/23/2026 09:00:00,09/23/2026 14:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,25.1255,0.5246,-1.3755,25.9764
09/23/2026 10:00:00,09/23/2026 15:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,26.3726,-1.0702,0.6178,26.8250
09/23/2026 10:00:00,09/23/2026 15:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,26.8854,0.4772,-0.4167,26.8249
09/23/2026 11:00:00,09/23/2026 16:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,26.2462,-1.2344,0.1085,27.3721
09/23/2026 11:00:00,09/23/2026 16:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,28.2837,0.6161,0.2955,27.3721
09/23/2026 12:00:00,09/23/2026 17:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,28.3874,-1.1785,0.6784,28.8875
09/23/2026 12:00:00,09/23/2026 17:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,30.2131,0.7888,0.5369,28.8874
09/23/2026 13:00:00,09/23/2026 18:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,29.5809,-1.2095,0.0471,30.7433
09/23/2026 13:00:00,09/23/2026 18:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,32.0432,0.8412,0.4588,30.7432
09/23/2026 14:00:00,09/23/2026 19:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,34.9642,-1.5020,-2.6997,39.1659
09/23/2026 14:00:00,09/23/2026 19:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,41.4497,1.0103,1.2735,39.1659
09/23/2026 15:00:00,09/23/2026 20:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,31.5027,-1.9521,-7.8153,41.2701
09/23/2026 15:00:00,09/23/2026 20:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,49.7077,1.2871,7.1505,41.2701
09/23/2026 16:00:00,09/23/2026 21:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,30.4677,-2.4239,-11.1944,44.0860
09/23/2026 16:00:00,09/23/2026 21:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,54.3879,1.5280,8.7739,44.0860
09/23/2026 17:00:00,09/23/2026 22:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,28.9120,-3.3383,-17.2046,49.4549
09/23/2026 17:00:00,09/23/2026 22:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,70.4688,1.7531,19.2608,49.4549
09/23/2026 18:00:00,09/23/2026 23:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,35.8304,-3.3636,-14.6658,53.8598
09/23/2026 18:00:00,09/23/2026 23:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,70.0000,1.8660,14.2742,53.8598
