Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
11/02/2025 11:00:00,11/02/2025 17:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.6449,-0.1316,2.6267,21.1498
11/02/2025 12:00:00,11/02/2025 18:00:00,SPPNORTH_HUB,SPPNORTH_H,19.7166,-0.0194,0.7678,18.9682
11/02/2025 12:00:00,11/02/2025 18:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.6663,-0.0763,4.7744,18.9682
11/02/2025 13:00:00,11/02/2025 19:00:00,SPPNORTH_HUB,SPPNORTH_H,19.9064,-0.2654,0.1507,20.0211
11/02/2025 13:00:00,11/02/2025 19:00:00,SPPSOUTH_HUB,SPPSOUTH_H,24.7647,-0.0065,4.7501,20.0211
11/02/2025 14:00:00,11/02/2025 20:00:00,SPPNORTH_HUB,SPPNORTH_H,19.9288,-0.5044,-0.1841,20.6173
11/02/2025 14:00:00,11/02/2025 20:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.1911,0.1139,4.4599,20.6173
11/02/2025 15:00:00,11/02/2025 21:00:00,SPPNORTH_HUB,SPPNORTH_H,18.8231,-0.7196,-1.1094,20.6521
11/02/2025 15:00:00,11/02/2025 21:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.3337,0.1815,4.5001,20.6521
11/02/2025 16:00:00,11/02/2025 22:00:00,SPPNORTH_HUB,SPPNORTH_H,16.6182,-0.7532,-3.5022,20.8736
11/02/2025 16:00:00,11/02/2025 22:00:00,SPPSOUTH_HUB,SPPSOUTH_H,24.0425,0.0177,3.1512,20.8736
11/02/2025 17:00:00,11/02/2025 23:00:00,SPPNORTH_HUB,SPPNORTH_H,22.3966,-0.8129,-3.6220,26.8315
11/02/2025 17:00:00,11/02/2025 23:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.5416,-0.1246,-1.1653,26.8315
11/02/2025 18:00:00,11/03/2025 00:00:00,SPPNORTH_HUB,SPPNORTH_H,23.6512,-0.7361,-4.8064,29.1937
11/02/2025 18:00:00,11/03/2025 00:00:00,SPPSOUTH_HUB,SPPSOUTH_H,27.0217,-0.3269,-1.8450,29.1936
11/02/2025 19:00:00,11/03/2025 01:00:00,SPPNORTH_HUB,SPPNORTH_H,18.5658,-0.6144,-2.5070,21.6872
11/02/2025 19:00:00,11/03/2025 01:00:00,SPPSOUTH_HUB,SPPSOUTH_H,14.7256,-0.3212,-6.6404,21.6872
11/02/2025 20:00:00,11/03/2025 02:00:00,SPPNORTH_HUB,SPPNORTH_H,14.6081,-0.3776,-1.4045,16.3902
11/02/2025 20:00:00,11/03/2025 02:00:00,SPPSOUTH_HUB,SPPSOUTH_H,8.3389,-0.3591,-7.6922,16.3902
11/02/2025 21:00:00,11/03/2025 03:00:00,SPPNORTH_HUB,SPPNORTH_H,10.1711,-0.3382,-2.7912,13.3005
11/02/2025 21:00:00,11/03/2025 03:00:00,SPPSOUTH_HUB,SPPSOUTH_H,6.3402,-0.2614,-6.6989,13.3005
11/02/2025 22:00:00,11/03/2025 04:00:00,SPPNORTH_HUB,SPPNORTH_H,4.9986,-0.1841,-2.7657,7.9484
11/02/2025 22:00:00,11/03/2025 04:00:00,SPPSOUTH_HUB,SPPSOUTH_H,0.4770,-0.1816,-7.2897,7.9483
11/02/2025 23:00:00,11/03/2025 05:00:00,SPPNORTH_HUB,SPPNORTH_H,0.2096,0.0066,1.6914,-1.4884
11/02/2025 23:00:00,11/03/2025 05:00:00,SPPSOUTH_HUB,SPPSOUTH_H,-7.6871,0.0414,-6.2401,-1.4884
11/03/2025 00:00:00,11/03/2025 06:00:00,SPPNORTH_HUB,SPPNORTH_H,-0.0238,0.0614,3.7655,-3.8507
11/03/2025 00:00:00,11/03/2025 06:00:00,SPPSOUTH_HUB,SPPSOUTH_H,-10.4192,0.0511,-6.6196,-3.8507
