Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
11/02/2025 01:00:00,11/02/2025 06:00:00,AEC,SOUC,29.8468,0.3380,5.9187,23.5901
11/02/2025 01:00:00,11/02/2025 06:00:00,CSWS_HUB,CSWS_HUB_H,28.5551,0.2470,4.7180,23.5901
11/02/2025 01:00:00,11/02/2025 06:00:00,SPPNORTH_HUB,SPPNORTH_H,27.5121,-0.4277,4.3496,23.5902
11/02/2025 01:00:00,11/02/2025 06:00:00,SPPSOUTH_HUB,SPPSOUTH_H,27.6797,0.6002,3.4894,23.5901
11/02/2025 02:00:00,11/02/2025 07:00:00,AEC,SOUC,28.5164,0.3980,6.2617,21.8567
11/02/2025 02:00:00,11/02/2025 07:00:00,CSWS_HUB,CSWS_HUB_H,27.0440,0.1619,5.0254,21.8567
11/02/2025 02:00:00,11/02/2025 07:00:00,SPPNORTH_HUB,SPPNORTH_H,26.3047,-0.2918,4.7398,21.8567
11/02/2025 02:00:00,11/02/2025 07:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.7995,0.2934,3.6494,21.8567
11/02/2025 02:00:00,11/02/2025 08:00:00,AEC,SOUC,28.8173,0.3941,6.7834,21.6398
11/02/2025 02:00:00,11/02/2025 08:00:00,CSWS_HUB,CSWS_HUB_H,26.8907,0.1603,5.0907,21.6397
11/02/2025 02:00:00,11/02/2025 08:00:00,SPPNORTH_HUB,SPPNORTH_H,27.3118,-0.2889,5.9609,21.6398
11/02/2025 02:00:00,11/02/2025 08:00:00,SPPSOUTH_HUB,SPPSOUTH_H,24.8999,0.2905,2.9696,21.6398
11/02/2025 03:00:00,11/02/2025 09:00:00,SPPNORTH_HUB,SPPNORTH_H,20.4771,-0.3610,1.5714,19.2667
11/02/2025 03:00:00,11/02/2025 09:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.1544,0.4520,5.4357,19.2667
11/02/2025 04:00:00,11/02/2025 10:00:00,SPPNORTH_HUB,SPPNORTH_H,16.2082,-0.3685,-0.9393,17.5160
11/02/2025 04:00:00,11/02/2025 10:00:00,SPPSOUTH_HUB,SPPSOUTH_H,24.2425,0.3661,6.3603,17.5161
11/02/2025 05:00:00,11/02/2025 11:00:00,SPPNORTH_HUB,SPPNORTH_H,17.1306,-0.4391,0.8332,16.7365
11/02/2025 05:00:00,11/02/2025 11:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.1729,0.3329,6.1036,16.7364
11/02/2025 06:00:00,11/02/2025 12:00:00,SPPNORTH_HUB,SPPNORTH_H,15.8179,-0.3910,-1.1751,17.3840
11/02/2025 06:00:00,11/02/2025 12:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.9261,0.2287,6.3133,17.3841
11/02/2025 07:00:00,11/02/2025 13:00:00,SPPNORTH_HUB,SPPNORTH_H,15.2846,-0.4272,-1.3293,17.0411
11/02/2025 07:00:00,11/02/2025 13:00:00,SPPSOUTH_HUB,SPPSOUTH_H,25.4629,0.2070,8.2148,17.0411
11/02/2025 08:00:00,11/02/2025 14:00:00,SPPNORTH_HUB,SPPNORTH_H,16.4202,-0.2615,0.5436,16.1381
11/02/2025 08:00:00,11/02/2025 14:00:00,SPPSOUTH_HUB,SPPSOUTH_H,22.1104,0.0929,5.8795,16.1380
11/02/2025 09:00:00,11/02/2025 15:00:00,SPPNORTH_HUB,SPPNORTH_H,26.3010,-0.0873,4.6820,21.7063
11/02/2025 09:00:00,11/02/2025 15:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.3871,0.0137,1.6671,21.7063
11/02/2025 10:00:00,11/02/2025 16:00:00,SPPNORTH_HUB,SPPNORTH_H,27.5273,0.0835,2.6766,24.7672
11/02/2025 10:00:00,11/02/2025 16:00:00,SPPSOUTH_HUB,SPPSOUTH_H,27.3067,-0.0436,2.5831,24.7672
11/02/2025 11:00:00,11/02/2025 17:00:00,SPPNORTH_HUB,SPPNORTH_H,22.2737,0.1554,0.9685,21.1498
